Users,Categories,Descriptions,Cost,Dates
User1,['Food'],['Groceries'],180.0,2024-06-10
User1,['Transportation'],['Gas refill'],70.0,2024-06-12
User1,['Bills & Financial'],['Electricity bill'],95.0,2024-06-15
User1,['Health'],['Pharmacy'],40.0,2024-06-18
User1,['Entertainment'],['Cinema'],30.0,2024-06-20
User1,['Technology'],['Cloud subscription'],25.0,2024-06-22
User1,['Personal'],['Clothes'],90.0,2024-06-25
User1,['Education'],['Online course'],120.0,2024-06-27
User1,['Housing'],['Monthly rent'],850.0,2024-06-08
User1,['Other'],['Misc expense'],50.0,2024-06-29
User1,['Housing'],['Monthly rent'],850.0,2024-07-08
User1,['Food'],['Groceries'],190.0,2024-07-10
User1,['Transportation'],['Taxi'],60.0,2024-07-12
User1,['Bills & Financial'],['Water bill'],40.0,2024-07-14
User1,['Health'],['Doctor visit'],110.0,2024-07-16
User1,['Entertainment'],['Streaming'],20.0,2024-07-18
User1,['Technology'],['Headphones'],95.0,2024-07-20
User1,['Travel'],['Weekend trip'],300.0,2024-07-22
User1,['Work & Business'],['Office supplies'],85.0,2024-07-25
User1,['Other'],['Gift'],70.0,2024-07-28
User1,['Housing'],['Monthly rent'],850.0,2024-08-08
User1,['Food'],['Groceries'],200.0,2024-08-10
User1,['Transportation'],['Gas refill'],75.0,2024-08-12
User1,['Bills & Financial'],['Internet bill'],55.0,2024-08-14
User1,['Health'],['Dental check'],130.0,2024-08-16
User1,['Entertainment'],['Concert'],180.0,2024-08-18
User1,['Technology'],['Keyboard'],80.0,2024-08-20
User1,['Education'],['Books'],100.0,2024-08-22
User1,['Personal'],['Shoes'],120.0,2024-08-24
User1,['Other'],['Donation'],60.0,2024-08-27
User1,['Housing'],['Monthly rent'],850.0,2024-09-08
User1,['Food'],['Groceries'],210.0,2024-09-10
User1,['Transportation'],['Bus pass'],50.0,2024-09-12
User1,['Bills & Financial'],['Insurance'],200.0,2024-09-14
User1,['Health'],['Gym membership'],180.0,2024-09-16
User1,['Entertainment'],['Game purchase'],70.0,2024-09-18
User1,['Technology'],['SSD'],140.0,2024-09-20
User1,['Travel'],['Hotel booking'],400.0,2024-09-22
User1,['Work & Business'],['Software license'],220.0,2024-09-24
User1,['Other'],['Repair'],90.0,2024-09-27
User1,['Housing'],['Monthly rent'],850.0,2024-10-08
User1,['Food'],['Groceries'],195.0,2024-10-10
User1,['Transportation'],['Gas refill'],80.0,2024-10-12
User1,['Bills & Financial'],['Electricity bill'],100.0,2024-10-14
User1,['Health'],['Medical tests'],150.0,2024-10-16
User1,['Entertainment'],['Movie night'],35.0,2024-10-18
User1,['Technology'],['Monitor'],300.0,2024-10-20
User1,['Education'],['Exam fee'],130.0,2024-10-22
User1,['Personal'],['Backpack'],95.0,2024-10-24
User1,['Other'],['Charity'],75.0,2024-10-27
User1,['Housing'],['Monthly rent'],850.0,2024-11-08
User1,['Food'],['Groceries'],205.0,2024-11-10
User1,['Transportation'],['Taxi'],65.0,2024-11-12
User1,['Bills & Financial'],['Water bill'],45.0,2024-11-14
User1,['Health'],['Doctor visit'],120.0,2024-11-16
User1,['Entertainment'],['Streaming'],25.0,2024-11-18
User1,['Technology'],['Mouse'],40.0,2024-11-20
User1,['Travel'],['Flight ticket'],500.0,2024-11-22
User1,['Work & Business'],['Office chair'],250.0,2024-11-24
User1,['Other'],['Misc expense'],60.0,2024-11-27
User1,['Housing'],['Monthly rent'],850.0,2024-12-08
User1,['Food'],['Groceries'],220.0,2024-12-10
User1,['Transportation'],['Gas refill'],85.0,2024-12-12
User1,['Bills & Financial'],['Internet bill'],60.0,2024-12-14
User1,['Health'],['Pharmacy'],50.0,2024-12-16
User1,['Entertainment'],['New year event'],250.0,2024-12-18
User1,['Technology'],['Smartwatch'],260.0,2024-12-20
User1,['Education'],['Course'],200.0,2024-12-22
User1,['Personal'],['Winter jacket'],150.0,2024-12-24
User1,['Other'],['Gift'],100.0,2024-12-27
User1,['Housing'],['Monthly rent'],880.0,2025-01-08
User1,['Food'],['Groceries'],230.0,2025-01-10
User1,['Transportation'],['Bus pass'],55.0,2025-01-12
User1,['Bills & Financial'],['Electricity bill'],110.0,2025-01-14
User1,['Health'],['Gym membership'],180.0,2025-01-16
User1,['Entertainment'],['Cinema'],40.0,2025-01-18
User1,['Technology'],['Laptop upgrade'],900.0,2025-01-20
User1,['Travel'],['Weekend trip'],350.0,2025-01-22
User1,['Work & Business'],['Software license'],230.0,2025-01-24
User1,['Other'],['Repair'],95.0,2025-01-27
User1,['Housing'],['Monthly rent'],880.0,2025-02-08
User1,['Food'],['Groceries'],240.0,2025-02-10
User1,['Transportation'],['Gas refill'],90.0,2025-02-12
User1,['Bills & Financial'],['Insurance'],210.0,2025-02-14
User1,['Health'],['Doctor visit'],130.0,2025-02-16
User1,['Entertainment'],['Concert'],190.0,2025-02-18
User1,['Technology'],['External SSD'],150.0,2025-02-20
User1,['Education'],['Books'],140.0,2025-02-22
User1,['Personal'],['Clothes'],160.0,2025-02-24
User1,['Other'],['Donation'],80.0,2025-02-27
User1,['Housing'],['Monthly rent'],880.0,2025-03-08
User1,['Food'],['Groceries'],250.0,2025-03-10
User1,['Transportation'],['Taxi'],75.0,2025-03-12
User1,['Bills & Financial'],['Water bill'],50.0,2025-03-14
User1,['Health'],['Medical tests'],160.0,2025-03-16
User1,['Entertainment'],['Game purchase'],85.0,2025-03-18
User1,['Technology'],['Headphones'],110.0,2025-03-20
User1,['Travel'],['Hotel booking'],420.0,2025-03-22
User1,['Work & Business'],['Office supplies'],120.0,2025-03-24
User1,['Other'],['Misc expense'],70.0,2025-03-27
User1,['Housing'],['Monthly rent'],880.0,2025-04-08
User1,['Food'],['Groceries'],260.0,2025-04-10
User1,['Transportation'],['Gas refill'],95.0,2025-04-12
User1,['Bills & Financial'],['Electricity bill'],120.0,2025-04-14
User1,['Health'],['Pharmacy'],60.0,2025-04-16
User1,['Entertainment'],['Streaming'],30.0,2025-04-18
User1,['Technology'],['Monitor'],320.0,2025-04-20
User1,['Education'],['Exam fee'],150.0,2025-04-22
User1,['Personal'],['Shoes'],130.0,2025-04-24
User1,['Other'],['Charity'],90.0,2025-04-27
User1,['Housing'],['Monthly rent'],880.0,2025-05-08
User1,['Food'],['Groceries'],270.0,2025-05-10
User1,['Transportation'],['Bus pass'],60.0,2025-05-12
User1,['Bills & Financial'],['Internet bill'],65.0,2025-05-14
User1,['Health'],['Doctor visit'],140.0,2025-05-16
User1,['Entertainment'],['Cinema'],45.0,2025-05-18
User1,['Technology'],['Keyboard'],95.0,2025-05-20
User1,['Travel'],['Flight ticket'],520.0,2025-05-22
User1,['Work & Business'],['Office chair'],260.0,2025-05-24
User1,['Other'],['Repair'],100.0,2025-05-27
User1,['Housing'],['Monthly rent'],880.0,2025-06-08
User1,['Food'],['Groceries'],280.0,2025-06-10
User1,['Transportation'],['Gas refill'],100.0,2025-06-12
User1,['Bills & Financial'],['Insurance'],220.0,2025-06-14
User1,['Health'],['Gym membership'],190.0,2025-06-16
User1,['Entertainment'],['Concert'],200.0,2025-06-18
User1,['Technology'],['Smartphone'],750.0,2025-06-20
User1,['Education'],['Course'],220.0,2025-06-22
User1,['Personal'],['Backpack'],110.0,2025-06-24
User1,['Other'],['Donation'],85.0,2025-06-27
User1,['Housing'],['Monthly rent'],880.0,2025-07-08
User1,['Food'],['Groceries'],290.0,2025-07-10
User1,['Transportation'],['Taxi'],85.0,2025-07-12
User1,['Bills & Financial'],['Water bill'],55.0,2025-07-14
User1,['Health'],['Medical tests'],170.0,2025-07-16
User1,['Entertainment'],['Game purchase'],95.0,2025-07-18
